Name,Description,Likes,Url,Tags
Chaotic Sword God,"After death, Jian Chen’s soul was reincarnated into a foreign world. He grew up with flying speed, but at the end, because of overflowing enemies and from heavily injuries by them, his soul abnormally changed at the border of life and death. From then on, he stepped onto a completely different path of sword cultivation and became the Sword God of the generation.", 788 ,https://lnmtl.com/novel/chaotic-sword-god,"Action,Adventure,Fantasy,Harem,Martial Arts,Mature,Tragedy,Xuanhuan,Adapted to Manhua,Arranged Marriage,Arrogant Characters,Beast Companions,Beautiful Female Lead,Body Tempering,Cultivation,Dao Comprehension,Death of Loved Ones,Determined Protagonist,Fast Cultivation,Genius Protagonist,Gods,Handsome Male Lead,Hidden Abilities,Late Romance,Male Protagonist,Marriage,Mercenaries,Multiple Realms,Mythical Beasts,Polygamy,Pregnancy,Rape,Rape Victim Becomes Lover,Reincarnated into Another World,Revenge,Romantic Subplot,Ruthless Protagonist,Special Abilities,Strength-based Social Hierarchy,Strong Love Interests,Sword Wielder,Time Skip,Underestimated Protagonist,Unique Cultivation Technique,Wars,Weak to Strong"
The Great Ruler,"The Great Thousand World. It is a place where numerous planes intersect, a place where many clans live and a place where a group of lords assemble. The Heavenly Sovereigns appear one by one from the Lower Planes and they will all display a legend that others would desire as they pursue the road of being a ruler in this boundless world.,In the Endless Fire Territory that the Flame Emperor controls, thousands of fire blazes through the heavens.,Inside the Martial Realm, the power of the Martial Ancestor frightens the heaven and the earth.,At the West Heaven Temple, the might of the Emperor of a Hundred Battles is absolute.,In the Northern Desolate Hill, a place filled with thousands of graves, the Immortal Owner rules the world.,A boy from the Northern Spiritual Realm comes out, riding on a Nine Netherworld Bird, as he charges into the brilliant and diverse world. Just who can rule over their destiny of their path on becoming a Great Ruler? In the Great Thousand World, many strive to become a Great Ruler.", 723 ,https://lnmtl.com/novel/the-great-ruler,"Action,Adventure,Comedy,Fantasy,Martial Arts,Romance,School Life,Xuanhuan,Academy,Adapted to Manhua,Beautiful Female Lead,Bloodlines,Body Tempering,Confident Protagonist,Cultivation,Cunning Protagonist,Demons,Dragons,Genius Protagonist,Handsome Male Lead,Heavenly Tribulation,Inheritance,Inscriptions,Legendary Artifacts,Magic Formations,Male Protagonist,Mysterious Family Background,Phoenixes,Protagonist Loyal to Love Interest,Revenge,Ruthless Protagonist,Sealed Power,Strong Love Interests,Weak to Strong"
God Level Demon,"Passerby 1: “Xia Ping!!!! You robbed my martial arts, snatched my immortality and even took my fiancee bastard, you and I aren’t over.”,Passerby 2: ”He’s martial arts scum.”,Passerby 3: “Demon! Ugh, even childrens’ lollipop weren’t spared. ”,Martial artists of Yan Huang couldn’t help but dream about breaking Xia Ping bones into a million pieces and drink his blood.,Xia Ping stroking his chin: ”System with so many hate points, which holy immortal or peerless martial arts, or heavenly artifacts should I choose.”", 718 ,https://lnmtl.com/novel/god-level-demon,"Action,Adventure,Comedy,Harem,Martial Arts,Romance,School Life,Sci-fi,Xuanhuan,Alchemy,Arrogant Characters,Bloodlines,Cheats,Clever Protagonist,Confident Protagonist,Cooking,Cultivation,Cunning Protagonist,Demons,Late Romance,Male Protagonist,Misunderstandings,Multiple Realms,Older Love Interests,Overpowered Protagonist,Parody,Pill Concocting,Romantic Subplot,Ruthless Protagonist,Scheming,Sexual Cultivation Technique,Shameless Protagonist,Special Abilities,Strong Love Interests,Student-Teacher Relationship,System Administrator,Transmigration,Transported into Another World,Weak to Strong,World Tree"
I Shall Seal the Heavens,"“What I want, the Heavens shall not lack! ”,“What I don’t want, had better not exist in the Heavens!”,This is a story which originates between the Eighth and Ninth Mountains, the world in which the strong prey upon the weak.,“My Name is Meng Hao! The Ninth Generation Demon Sealer, I shall seal the Heavens!“", 683 ,https://lnmtl.com/novel/i-shall-seal-the-heavens,"Action,Adventure,Comedy,Drama,Fantasy,Martial Arts,Xianxia,Adapted to Manhua,Alchemy,Bloodlines,Body Tempering,Calm Protagonist,Character Growth,Cultivation,Cunning Protagonist,Dao Comprehension,Demonic Cultivation,Demons,Determined Protagonist,Devoted Love Interests,Friendship,Gods,Hard-Working Protagonist,Heavenly Tribulation,Immortals,Legendary Artifacts,Lucky Protagonist,Magic,Male Protagonist,Marriage,Master-Disciple Relationship,Money Grubber,Monsters,Multiple Realms,Mysterious Family Background,Past Plays a Big Role,Philosophical,Pill Concocting,Poisons,Protagonist Loyal to Love Interest,Protagonist with Multiple Bodies,Romantic Subplot,Ruthless Protagonist,Shameless Protagonist,Slow Romance,Time Manipulation,Tragic Past,Trickster,Underestimated Protagonist,Wars,Weak to Strong"
Martial World,"Lin Ming, a talented man for martial arts wanted to audition for Tian Yun Wu Fu with a girl named Lan Yunyue, she was his childhood friend since young and they both have a small crush on each other. But on the day of audition, Lan Yunyue did not come, which left Lin Ming in curiosity. He later found out that a guy who is rich and talented, named Zhu Yan helped Lan Yunyue.", 679 ,https://lnmtl.com/novel/martial-world,"Action,Adventure,Fantasy,Harem,Martial Arts,Xuanhuan,Alchemy,Appearance Changes,Artifact Crafting,Battle Academy,Beautiful Female Lead,Bloodlines,Body Tempering,Calm Protagonist,Confident Protagonist,Cultivation,Dao Comprehension,Demonic Cultivation,Demons,Determined Protagonist,Devoted Love Interests,Dragons,Elves,Evil Gods,Famous Protagonist,Fast Cultivation,Genius Protagonist,Gods,Hard-Working Protagonist,Hiding True Abilities,Hiding True Identity,Immortals,Inheritance,Inscriptions,Jack of All Trades,Late Romance,Legendary Artifacts,Long Separations,Lucky Protagonist,Magic Formations,Male Protagonist,Marriage,Multiple Realms,Older Love Interests,Phoenixes,Pill Concocting,Polygamy,Popular Love Interests,Reverse Rape,Romantic Subplot,Ruthless Protagonist,Sexual Cultivation Technique,Souls,Spatial Manipulation,Spear Wielder,Spirit Advisor,Strength-based Social Hierarchy,Strong Love Interests,Sudden Strength Gain,Transplanted Memories,Wars,Weak to Strong,World Travel"
A Will Eternal,"With a thought, the ocean shifted.,With a thought, the fields moved.,With a thought, a thousand demons slain.,With a thought, a thousand gods fell.,My thought is … Eternity.", 658 ,https://lnmtl.com/novel/a-will-eternal,"Action,Adventure,Comedy,Drama,Fantasy,Harem,Martial Arts,Xianxia,Alchemy,Arrogant Characters,Artifact Crafting,Beast Companions,Beautiful Female Lead,Body Tempering,Cautious Protagonist,Charming Protagonist,Clever Protagonist,Cultivation,Cunning Protagonist,Dao Companion,Determined Protagonist,Enemies Become Allies,Famous Protagonist,Fast Cultivation,Friendship,Genius Protagonist,Handsome Male Lead,Hard-Working Protagonist,Hot-blooded Protagonist,Immortals,Late Romance,Legendary Artifacts,Lucky Protagonist,Magic Formations,Male Protagonist,Misunderstandings,Monsters,Narcissistic Protagonist,Pill Concocting,Polygamy,Protagonist with Multiple Bodies,Reverse Rape,Romantic Subplot,Shameless Protagonist,Sword And Magic,Trickster,Underestimated Protagonist,Wars,Weak to Strong"
Battle Through the Heavens,"In a land where no magic is present. A land where the strong makes the rules and weak has to obey. A land filled with alluring treasures and beauty yet also filled with unforeseen danger. Xiao Yan, who has shown talents none had seen in decades, suddenly three years ago lost everything, his powers, his reputation, and his promise to his mother. What sorcery has caused him to lose all of his powers? And why has his fiancee suddenly shown up?", 647 ,https://lnmtl.com/novel/battle-through-the-heavens,"Action,Adventure,Comedy,Fantasy,Harem,Martial Arts,Xuanhuan,Adapted to Anime,Adapted to Drama,Adapted to Manhua,Alchemy,Arranged Marriage,Arrogant Characters,Battle Academy,Beast Companions,Beautiful Female Lead,Broken Engagement,Childhood Love,Cold Love Interests,Confident Protagonist,Cultivation,Determined Protagonist,Early Romance,Fast Cultivation,Genius Protagonist,Ghosts,Hard-Working Protagonist,Lucky Protagonist,Male Protagonist,Marriage,Mythical Beasts,Pill Based Cultivation,Pill Concocting,Politics,Polygamy,Pregnancy,Rape,Rape Victim Becomes Lover,Revenge,Romantic Subplot,Ruthless Protagonist,Spirit Advisor,Strong Love Interests,Transmigration,Wars,Weak to Strong,Yandere"
Desolate Era,"Fate had never been kind to Ji Ning. Wracked by illnesses and infirm his entire life on Earth, Ji Ning knew early on that he would die as a teenager. What he didn’t know was that there really was such a thing as life after death and that the multiverse was a far larger place than he thought.,A lucky twist of fate meant that Ji Ning was reborn into a world of Immortals and monsters, of Ki Refiners and powerful Fiendgods, a world where Dynasties lasted for millions of years. A world which is both greater… and yet also smaller… than he ever could imagine. He would have the opportunity to join them, and in this life, Ji Ning swore to himself, he would never let himself be weak again! The Era he was born into was a Desolate one, but Ji Ning would make it his era.", 640 ,https://lnmtl.com/novel/desolate-era,"Action,Adventure,Drama,Fantasy,Martial Arts,Seinen,Tragedy,Xianxia,Academy,Adapted to Anime,Adapted to Drama,Adapted to Manhua,Arrogant Characters,Beast Companions,Betrayal,Body Tempering,Clan Building,Cultivation,Dao Companion,Dao Comprehension,Death of Loved Ones,Determined Protagonist,Eidetic Memory,Fast Cultivation,Genius Protagonist,Handsome Male Lead,Hard-Working Protagonist,Heavenly Tribulation,Immortals,Inheritance,Legendary Artifacts,Magic Formations,Magical Space,Male Protagonist,Multiple Realms,Protagonist Loyal to Love Interest,Protagonist with Multiple Bodies,Reincarnated into Another World,Romantic Subplot,Sword Wielder,Time Skip,Underestimated Protagonist,Wars,Weak to Strong,World Travel"
My Wife is a Beautiful CEO,"The Ancient conflict between Greek Gods and Chinese Cultivators continues even to this day.
On which side does a chinese orphan that climbed to the absolute top of the world, stand?,Main hero Yang Chen after surviving catastrophe which has put an enormous gulf in his heart, returns to his native China and resigns from everything to lead easy and carefree life of... skewered mutton peddler.
Fate is fickle and has other plans for him, because quickly he ""accidentaly"" takes virginity of conservative, dead-drunk beauty that afterwards forces him by a contract to pose as influential husband.,Where will this lead, and how will the King of Hell cope with this new situation?", 629 ,https://lnmtl.com/novel/my-wife-is-a-beautiful-ceo,"Action,Drama,Ecchi,Harem,Martial Arts,Mature,Romance,Xuanhuan,Aliens,Assassins,Beautiful Female Lead,Bickering Couple,Calm Protagonist,Carefree Protagonist,Cold Love Interests,Complex Family Relationships,Confident Protagonist,Cunnilingus,Cunning Protagonist,Eidetic Memory,Fellatio,Gangs,God-human Relationship,God Protagonist,Godly Powers,Hiding True Abilities,Hiding True Identity,Lazy Protagonist,Legendary Artifacts,Male Protagonist,Marriage of Convenience,Mature Protagonist,Modern Day,Mysterious Past,Mythology,Organized Crime,Overpowered Protagonist,Perverted Protagonist,Politics,Polygamy,Protagonist Strong from the Start,Rape,Rape Victim Becomes Lover,Ruthless Protagonist,Secret Identity,Secret Organizations,Shameless Protagonist,Sibling Rivalry,Threesome,Vampires"
Sovereign of the Three Realms,"‘Jiang Chen, son of the Heavenly Emperor, unexpectedly reincarnated into the body of a despised young noble, thus embarking on the path of the underdog trouncing all comers. No one has the right to call himself a genius in front of Jiang Chen, as no one has a better understanding of the heavens than the son of the Heavenly Emperor. Genius? He who adheres to me shall ascend, those who oppose me can find solace in hell!’", 616 ,https://lnmtl.com/novel/sovereign-of-the-three-realms,"Action,Adventure,Fantasy,Harem,Martial Arts,Mature,Xuanhuan,Alchemy,Beast Companions,Beautiful Female Lead,Bloodlines,Body Tempering,Calm Protagonist,Confident Protagonist,Cultivation,Demons,Dense Protagonist,Determined Protagonist,Doctors,Dragons,Enlightenment,Genius Protagonist,Handsome Male Lead,Immortals,Late Romance,Legendary Artifacts,Loyal Subordinates,Male Protagonist,Monsters,Multiple Realms,Nobles,Past Plays a Big Role,Philosophical,Pill Concocting,Poisons,Politics,Polygamy,Revenge,Romantic Subplot,Royalty,Ruthless Protagonist,Soul Power,Strength-based Social Hierarchy,Transmigration,Underestimated Protagonist,Wars,Weak to Strong"
